L1,L2,L3,L4,L5,M12,tb
0.135252,0.295805,0.0419907,-0.0794106,-0.33952,-64565.4,2.07321
0.135252,0.295805,0.0419907,-0.0794106,-0.33952,-66069.3,2.07321
0.135252,0.295805,0.0419907,-0.0794106,-0.33952,-67608.3,2.07321
0.135332,0.295838,0.0420318,-0.0784859,-0.338584,-57544.,2.07321
0.135332,0.295838,0.0420318,-0.0784859,-0.338584,-58884.4,2.07321
0.135332,0.295838,0.0420318,-0.0784859,-0.338584,-60256.,2.07321
0.135332,0.295838,0.0420318,-0.0784859,-0.338584,-61659.5,2.07321
0.135332,0.295838,0.0420318,-0.0784859,-0.338584,-63095.7,2.07321
0.135332,0.295838,0.0420318,-0.0784859,-0.338584,-64565.4,2.07321
0.135332,0.295838,0.0420318,-0.0784859,-0.338584,-66069.3,2.07321
0.135411,0.295871,0.0420725,-0.077565,-0.337652,-56234.1,2.07321
0.135411,0.295871,0.0420725,-0.077565,-0.337652,-57544.,2.07321
0.135411,0.295871,0.0420725,-0.077565,-0.337652,-58884.4,2.07321
0.135411,0.295871,0.0420725,-0.077565,-0.337652,-60256.,2.07321
0.135411,0.295871,0.0420725,-0.077565,-0.337652,-61659.5,2.07321
0.135411,0.295871,0.0420725,-0.077565,-0.337652,-63095.7,2.07321
0.135411,0.295871,0.0420725,-0.077565,-0.337652,-64565.4,2.07321
0.13549,0.295904,0.0421125,-0.0766479,-0.336724,-54954.1,2.07321
0.13549,0.295904,0.0421125,-0.0766479,-0.336724,-56234.1,2.07321
0.13549,0.295904,0.0421125,-0.0766479,-0.336724,-57544.,2.07321
0.13549,0.295904,0.0421125,-0.0766479,-0.336724,-58884.4,2.07321
0.13549,0.295904,0.0421125,-0.0766479,-0.336724,-60256.,2.07321
0.13549,0.295904,0.0421125,-0.0766479,-0.336724,-61659.5,2.07321
0.135569,0.295937,0.0421521,-0.0757345,-0.335799,-53703.2,2.07321
0.135569,0.295937,0.0421521,-0.0757345,-0.335799,-54954.1,2.07321
0.135569,0.295937,0.0421521,-0.0757345,-0.335799,-56234.1,2.07321
0.135569,0.295937,0.0421521,-0.0757345,-0.335799,-57544.,2.07321
0.135569,0.295937,0.0421521,-0.0757345,-0.335799,-58884.4,2.07321
0.135569,0.295937,0.0421521,-0.0757345,-0.335799,-60256.,2.07321
0.135647,0.295969,0.0421911,-0.0748249,-0.334878,-52480.7,2.07321
0.135647,0.295969,0.0421911,-0.0748249,-0.334878,-53703.2,2.07321
0.135647,0.295969,0.0421911,-0.0748249,-0.334878,-54954.1,2.07321
0.135647,0.295969,0.0421911,-0.0748249,-0.334878,-56234.1,2.07321
0.135647,0.295969,0.0421911,-0.0748249,-0.334878,-57544.,2.07321
0.135647,0.295969,0.0421911,-0.0748249,-0.334878,-58884.4,2.07321
0.135725,0.296001,0.0422295,-0.073919,-0.33396,-51286.1,2.07321
0.135725,0.296001,0.0422295,-0.073919,-0.33396,-52480.7,2.07321
