,L1,L2,L3,L4,L5,M12,tb,mh1,mh2,mAh,mHm,h1bb,h1tt,h1tautau,h1VV,HBresult
45,0.161555,0.30180100000000004,0.126096,-0.354136,-0.205398,-89125.1,2.07321,124.637039,495.593767,490.11851,494.696616,1.14709558,0.962559505,1.14709558,0.997389464,1.0
46,0.161555,0.30180100000000004,0.126096,-0.354136,-0.205398,-91201.1,2.07321,124.745479,500.890676,495.501244,500.030071,1.1438539,0.963456601,1.1438539,0.997505394,1.0
47,0.161555,0.30180100000000004,0.126096,-0.354136,-0.205398,-93325.4,2.07321,124.851428,506.254667,500.949345,505.429357,1.14068033,0.964331584,1.14068033,0.997616239,1.0
48,0.161555,0.30180100000000004,0.126096,-0.354136,-0.205398,-95499.3,2.07321,124.954949,511.686863,506.463982,510.895638,1.13757339,0.965185077,1.13757339,0.997722227,1.0
49,0.161555,0.30180100000000004,0.126096,-0.354136,-0.205398,-97723.7,2.07321,125.056087,517.18733,512.04525,516.429015,1.13453222,0.966017522,1.13453222,0.997823552,1.0
50,0.161555,0.30180100000000004,0.126096,-0.354136,-0.205398,-100000.0,2.07321,125.154906,522.75732,517.694452,522.030779,1.1315553,0.966829529,1.1315553,0.997920424,1.0
51,0.161555,0.30180100000000004,0.126096,-0.354136,-0.205398,-102329.0,2.07321,125.25144,528.396563,523.41134,527.700691,1.12864194,0.967621475,1.12864194,0.998013019,1.0
52,0.161555,0.30180100000000004,0.126096,-0.354136,-0.205398,-104713.0,2.07321,125.345785,534.108346,529.199273,533.442086,1.12578967,0.968394213,1.12578967,0.99810156,1.0
53,0.161555,0.30180100000000004,0.126096,-0.354136,-0.205398,-107152.0,2.07321,125.437941,539.890368,535.055947,539.252682,1.12299885,0.969147818,1.12299885,0.998186177,1.0
54,0.161555,0.30180100000000004,0.126096,-0.354136,-0.205398,-109648.0,2.07321,125.527983,545.745064,540.983853,545.134953,1.12026747,0.969882995,1.12026747,0.998267065,1.0
55,0.161635,0.30184,0.126183,-0.353419,-0.204037,-85113.8,2.07321,124.604752,485.155443,479.460687,484.159747,1.15356438,0.960759232,1.15356438,0.997149923,1.0
56,0.161635,0.30184,0.126183,-0.353419,-0.204037,-87096.4,2.07321,124.717832,490.32056,484.715578,489.364181,1.15018627,0.961701047,1.15018627,0.997276381,1.0
57,0.161635,0.30184,0.126183,-0.353419,-0.204037,-89125.1,2.07321,124.828313,495.551343,490.034329,494.632948,1.1468788,0.962619601,1.1468788,0.997397301,1.0
58,0.161635,0.30184,0.126183,-0.353419,-0.204037,-91201.1,2.07321,124.936261,500.848781,495.417978,499.967082,1.14364053,0.963515531,1.14364053,0.997512928,1.0
59,0.161635,0.30184,0.126183,-0.353419,-0.204037,-93325.4,2.07321,125.041728,506.213295,500.866985,505.367041,1.14047036,0.964389363,1.14047036,0.997623481,1.0
60,0.161635,0.30184,0.126183,-0.353419,-0.204037,-95499.3,2.07321,125.144778,511.646007,506.382518,510.833989,1.1373668,0.965241719,1.1373668,0.997729185,1.0
61,0.161635,0.30184,0.126183,-0.353419,-0.204037,-97723.7,2.07321,125.245454,517.146983,511.964675,516.368026,1.134329,0.966073042,1.134329,0.997830237,1.0
62,0.161635,0.30184,0.126183,-0.353419,-0.204037,-100000.0,2.07321,125.343819,522.717476,517.614756,521.970445,1.13135544,0.966883944,1.13135544,0.997926846,1.0
63,0.161635,0.30184,0.126183,-0.353419,-0.204037,-102329.0,2.07321,125.439911,528.357215,523.332514,527.641005,1.12844542,0.9676748,1.12844542,0.998019186,1.0
64,0.161635,0.30184,0.126183,-0.353419,-0.204037,-104713.0,2.07321,125.533821,534.069488,529.12131,533.383043,1.12559646,0.968446465,1.12559646,0.998107483,1.0
65,0.16171300000000002,0.301879,0.12626800000000002,-0.35270799999999997,-0.20268,-83176.4,2.07321,124.680473,480.011895,474.182616,478.953906,1.15678842,0.959856932,1.15678842,0.997026442,1.0
