L1,L2,L3,L4,L5,M12,tb
0.162173,0.302106,0.126765,-0.348555,-0.194612,-72443.6,2.07321
0.162173,0.302106,0.126765,-0.348555,-0.194612,-74131.,2.07321
0.162173,0.302106,0.126765,-0.348555,-0.194612,-75857.8,2.07321
0.162173,0.302106,0.126765,-0.348555,-0.194612,-77624.7,2.07321
0.162173,0.302106,0.126765,-0.348555,-0.194612,-79432.8,2.07321
0.162247,0.302142,0.126845,-0.347881,-0.19328,-66069.3,2.07321
0.162247,0.302142,0.126845,-0.347881,-0.19328,-67608.3,2.07321
0.162247,0.302142,0.126845,-0.347881,-0.19328,-69183.1,2.07321
0.162247,0.302142,0.126845,-0.347881,-0.19328,-70794.6,2.07321
0.162247,0.302142,0.126845,-0.347881,-0.19328,-72443.6,2.07321
0.162247,0.302142,0.126845,-0.347881,-0.19328,-74131.,2.07321
0.162247,0.302142,0.126845,-0.347881,-0.19328,-75857.8,2.07321
0.162321,0.302178,0.126925,-0.347213,-0.191951,-63095.7,2.07321
0.162321,0.302178,0.126925,-0.347213,-0.191951,-64565.4,2.07321
0.162321,0.302178,0.126925,-0.347213,-0.191951,-66069.3,2.07321
0.162321,0.302178,0.126925,-0.347213,-0.191951,-67608.3,2.07321
0.162321,0.302178,0.126925,-0.347213,-0.191951,-69183.1,2.07321
0.162321,0.302178,0.126925,-0.347213,-0.191951,-70794.6,2.07321
0.162321,0.302178,0.126925,-0.347213,-0.191951,-72443.6,2.07321
0.162321,0.302178,0.126925,-0.347213,-0.191951,-74131.,2.07321
0.162394,0.302214,0.127003,-0.346549,-0.190626,-61659.5,2.07321
0.162394,0.302214,0.127003,-0.346549,-0.190626,-63095.7,2.07321
0.162394,0.302214,0.127003,-0.346549,-0.190626,-64565.4,2.07321
0.162394,0.302214,0.127003,-0.346549,-0.190626,-66069.3,2.07321
0.162394,0.302214,0.127003,-0.346549,-0.190626,-67608.3,2.07321
0.162394,0.302214,0.127003,-0.346549,-0.190626,-69183.1,2.07321
0.162394,0.302214,0.127003,-0.346549,-0.190626,-70794.6,2.07321
0.162466,0.30225,0.127081,-0.345891,-0.189303,-60256.,2.07321
0.162466,0.30225,0.127081,-0.345891,-0.189303,-61659.5,2.07321
0.162466,0.30225,0.127081,-0.345891,-0.189303,-63095.7,2.07321
0.162466,0.30225,0.127081,-0.345891,-0.189303,-64565.4,2.07321
0.162466,0.30225,0.127081,-0.345891,-0.189303,-66069.3,2.07321
0.162466,0.30225,0.127081,-0.345891,-0.189303,-67608.3,2.07321
0.162466,0.30225,0.127081,-0.345891,-0.189303,-69183.1,2.07321
0.162538,0.302285,0.127159,-0.345238,-0.187985,-58884.4,2.07321
0.162538,0.302285,0.127159,-0.345238,-0.187985,-60256.,2.07321
0.162538,0.302285,0.127159,-0.345238,-0.187985,-61659.5,2.07321
0.162538,0.302285,0.127159,-0.345238,-0.187985,-63095.7,2.07321
0.162538,0.302285,0.127159,-0.345238,-0.187985,-64565.4,2.07321
0.162538,0.302285,0.127159,-0.345238,-0.187985,-66069.3,2.07321
0.162538,0.302285,0.127159,-0.345238,-0.187985,-67608.3,2.07321
0.162609,0.30232,0.127235,-0.344591,-0.186669,-57544.,2.07321
0.162609,0.30232,0.127235,-0.344591,-0.186669,-58884.4,2.07321
0.162609,0.30232,0.127235,-0.344591,-0.186669,-60256.,2.07321
0.162609,0.30232,0.127235,-0.344591,-0.186669,-61659.5,2.07321
0.162609,0.30232,0.127235,-0.344591,-0.186669,-63095.7,2.07321
0.162609,0.30232,0.127235,-0.344591,-0.186669,-64565.4,2.07321
0.16268,0.302355,0.127311,-0.343948,-0.185357,-54954.1,2.07321
